Provinsi,Tahun,Gini Ratio,Persentase Penduduk Miskin (P0),Produk Domestik Regional Bruto per Kapita,Angka Partisipasi Murni (APM),Harapan Lama Sekolah,Rata-Rata Lama Sekolah Penduduk
KEP. RIAU,2018,0.339,5.83,116461.0,72.9,12.82,10.01
KEP. RIAU,2019,0.337,5.8,119395.0,72.97,12.83,5.33
KEP. RIAU,2020,0.334,6.13,123465.0,73.45,12.87,10.22
KEP. RIAU,2021,0.339,5.75,131884.0,73.36,12.98,10.38
KEP. RIAU,2022,0.325,6.03,145530.0,73.54,12.99,10.46
KEP. RIAU,2023,0.34,5.69,154065.0,74.11,13.05,10.52
KEP. RIAU,2024,0.357,4.78,161424.0,77.54,13.27,10.65
DKI JAKARTA,2016,0.397,3.75,210075.0,59.3,12.73,10.92
DKI JAKARTA,2017,0.409,3.78,228003.0,59.54,12.86,10.97
DKI JAKARTA,2018,0.39,3.55,247678.0,60.01,12.95,11.06
DKI JAKARTA,2019,0.391,3.42,268052.0,60.24,12.97,3.47
DKI JAKARTA,2020,0.4,4.69,262615.0,60.42,12.98,11.17
DKI JAKARTA,2021,0.411,4.67,274660.0,60.53,13.07,11.2
DKI JAKARTA,2022,0.412,4.61,299675.0,60.88,13.08,11.3
DKI JAKARTA,2023,0.431,4.44,322619.0,60.81,13.33,11.42
DKI JAKARTA,2024,0.431,4.14,344350.0,64.85,13.51,11.49
JAWA BARAT,2016,0.402,8.77,34894.0,56.92,12.3,8.41
JAWA BARAT,2017,0.393,7.83,37223.0,57.22,12.42,8.46
JAWA BARAT,2018,0.405,7.25,40273.0,57.33,12.45,8.61
JAWA BARAT,2019,0.398,6.82,43309.0,57.53,12.48,6.03
JAWA BARAT,2020,0.398,8.43,43237.0,57.9,12.5,8.96
JAWA BARAT,2021,0.406,7.97,45234.0,58.58,12.61,9.03
JAWA BARAT,2022,0.412,7.98,49137.0,58.6,12.62,9.14
JAWA BARAT,2023,0.425,7.62,52652.0,59.01,12.68,9.16
JAWA BARAT,2024,0.428,7.08,56080.0,60.68,12.8,9.24
JAWA TENGAH,2016,0.357,13.19,31962.0,58.49,12.45,7.7
JAWA TENGAH,2017,0.365,12.23,34234.0,59.2,12.57,7.77
JAWA TENGAH,2018,0.357,11.19,36771.0,59.31,12.63,7.84
JAWA TENGAH,2019,0.358,10.58,39388.0,59.35,12.68,9.2
JAWA TENGAH,2020,0.359,11.84,36965.0,59.74,12.7,8.19
JAWA TENGAH,2021,0.368,11.25,38568.0,60.46,12.77,8.26
JAWA TENGAH,2022,0.366,10.98,41934.0,61.17,12.81,8.38
JAWA TENGAH,2023,0.369,10.77,45167.0,61.46,12.85,8.44
JAWA TENGAH,2024,0.364,9.58,47972.0,62.56,12.86,8.47
DI YOGYAKARTA,2016,0.425,13.1,29553.0,68.96,15.23,9.62
DI YOGYAKARTA,2017,0.44,12.36,31665.0,69.66,15.42,9.68
DI YOGYAKARTA,2018,0.422,11.81,34137.0,70.22,15.56,9.73
DI YOGYAKARTA,2019,0.428,11.44,36460.0,70.49,15.58,10.89
DI YOGYAKARTA,2020,0.437,12.8,37694.0,70.98,15.59,9.95
DI YOGYAKARTA,2021,0.436,11.91,40516.0,71.42,15.64,10.04
DI YOGYAKARTA,2022,0.459,11.49,44639.0,74.5,15.65,10.07
DI YOGYAKARTA,2023,0.449,11.04,48360.0,76.37,15.66,10.16
DI YOGYAKARTA,2024,0.428,10.4,51473.0,77.86,15.7,10.23
JAWA TIMUR,2016,0.402,11.85,47492.0,60.76,12.98,7.78
JAWA TIMUR,2017,0.415,11.2,51228.0,61.49,13.09,7.87
JAWA TIMUR,2018,0.371,10.85,55411.0,61.51,13.1,7.93
JAWA TIMUR,2019,0.364,10.2,59015.0,61.77,13.16,6.84
JAWA TIMUR,2020,0.364,11.46,56641.0,62.24,13.19,8.31
JAWA TIMUR,2021,0.364,10.59,59988.0,62.63,13.36,8.37
JAWA TIMUR,2022,0.365,10.49,66248.0,62.1,13.37,8.5
JAWA TIMUR,2023,0.387,10.35,71122.0,62.59,13.38,8.53
JAWA TIMUR,2024,0.373,9.56,75770.0,64.77,13.43,8.69
BANTEN,2016,0.392,5.36,42440.0,57.21,12.7,8.79
BANTEN,2017,0.379,5.59,45276.0,57.88,12.78,8.87
BANTEN,2018,0.367,5.25,48370.0,58.72,12.85,8.93
BANTEN,2019,0.361,4.94,52014.0,58.8,12.88,4.12
BANTEN,2020,0.365,6.63,52729.0,59.06,12.89,9.22
BANTEN,2021,0.363,6.5,55383.0,59.69,13.02,9.29
BANTEN,2022,0.377,6.24,61414.0,59.54,13.05,9.46
BANTEN,2023,0.368,6.17,66147.0,60.42,13.09,9.48
BANTEN,2024,0.359,5.7,70276.0,63.5,13.1,9.55
BALI,2016,0.374,4.15,46211.0,71.71,13.04,8.84
BALI,2017,0.379,4.14,50167.0,72.4,13.21,8.93
BALI,2018,0.364,3.91,54433.0,73.0,13.23,9.0
BALI,2019,0.37,3.61,57756.0,73.01,13.27,3.29
BALI,2020,0.369,4.45,52015.0,73.29,13.33,9.31
BALI,2021,0.375,4.72,50758.0,74.82,13.4,9.45
BALI,2022,0.362,4.53,56093.0,74.73,13.48,9.74
BALI,2023,0.362,4.25,62294.0,75.6,13.58,9.74
BALI,2024,0.348,3.8,67319.0,74.19,13.62,9.87
NUSA TENGGARA BARAT,2016,0.365,16.02,23787.0,65.19,13.16,7.57
NUSA TENGGARA BARAT,2017,0.378,15.05,24987.0,65.67,13.46,7.64
NUSA TENGGARA BARAT,2018,0.391,14.63,24706.0,65.77,13.47,7.69
NUSA TENGGARA BARAT,2019,0.374,13.88,25716.0,66.04,13.48,15.74
NUSA TENGGARA BARAT,2020,0.386,14.23,25184.0,66.81,13.7,8.08
NUSA TENGGARA BARAT,2021,0.384,13.83,26009.0,67.09,13.9,8.13
NUSA TENGGARA BARAT,2022,0.374,13.82,28671.0,67.61,13.96,8.31
NUSA TENGGARA BARAT,2023,0.375,13.85,29926.0,68.04,13.97,8.39
NUSA TENGGARA BARAT,2024,0.364,11.91,32282.0,71.09,13.98,8.5
NUSA TENGGARA TIMUR,2016,0.362,22.01,16094.0,52.87,12.97,7.54
NUSA TENGGARA TIMUR,2017,0.359,21.38,17165.0,53.32,13.07,7.62
NUSA TENGGARA TIMUR,2018,0.359,21.03,18418.0,53.67,13.1,7.7
NUSA TENGGARA TIMUR,2019,0.355,20.62,19630.0,53.68,13.15,8.84
NUSA TENGGARA TIMUR,2020,0.356,21.21,20057.0,54.09,13.18,8.09
NUSA TENGGARA TIMUR,2021,0.339,20.44,20555.0,54.29,13.2,8.2
NUSA TENGGARA TIMUR,2022,0.34,20.23,21658.0,56.0,13.21,8.25
NUSA TENGGARA TIMUR,2023,0.325,19.96,23078.0,58.15,13.22,8.31
NUSA TENGGARA TIMUR,2024,0.316,19.02,24272.0,60.73,13.23,8.48
KALIMANTAN BARAT,2016,0.331,8.0,33191.0,50.43,12.37,7.49
KALIMANTAN BARAT,2017,0.329,7.86,35985.0,50.96,12.5,7.57
KALIMANTAN BARAT,2018,0.325,7.37,38815.0,51.16,12.55,7.65
KALIMANTAN BARAT,2019,0.318,7.28,42045.0,51.21,12.58,4.6
KALIMANTAN BARAT,2020,0.325,7.24,39622.0,51.7,12.6,7.9
KALIMANTAN BARAT,2021,0.315,6.84,42253.0,51.77,12.65,8.0
KALIMANTAN BARAT,2022,0.311,6.81,46092.0,51.87,12.66,8.1
KALIMANTAN BARAT,2023,0.321,6.71,48809.0,54.76,12.67,8.17
KALIMANTAN BARAT,2024,0.314,6.25,52703.0,57.18,12.68,8.28
KALIMANTAN TENGAH,2016,0.347,5.36,43905.0,52.5,12.33,8.52
KALIMANTAN TENGAH,2017,0.327,5.26,48293.0,53.86,12.45,8.59
KALIMANTAN TENGAH,2018,0.344,5.1,52107.0,53.67,12.55,8.66
KALIMANTAN TENGAH,2019,0.335,4.81,56625.0,53.82,12.57,4.47
KALIMANTAN TENGAH,2020,0.32,5.26,57145.0,54.08,12.66,8.95
KALIMANTAN TENGAH,2021,0.32,5.16,62834.0,54.25,12.74,9.03
KALIMANTAN TENGAH,2022,0.309,5.22,72973.0,55.69,12.75,9.03
KALIMANTAN TENGAH,2023,0.317,5.11,75271.0,55.63,12.76,9.07
KALIMANTAN TENGAH,2024,0.304,5.26,79320.0,58.05,12.77,9.17
KALIMANTAN SELATAN,2016,0.351,4.52,36023.0,55.91,12.29,8.28
KALIMANTAN SELATAN,2017,0.347,4.7,38620.0,57.15,12.46,8.37
KALIMANTAN SELATAN,2018,0.34,4.65,41046.0,57.78,12.5,8.45
KALIMANTAN SELATAN,2019,0.334,4.47,42824.0,57.82,12.52,3.53
KALIMANTAN SELATAN,2020,0.351,4.83,44101.0,58.25,12.68,8.69
KALIMANTAN SELATAN,2021,0.325,4.56,48066.0,58.37,12.81,8.74
KALIMANTAN SELATAN,2022,0.309,4.61,60213.0,59.61,12.82,8.89
KALIMANTAN SELATAN,2023,0.313,4.29,63754.0,59.83,12.86,8.95
KALIMANTAN SELATAN,2024,0.298,4.02,67117.0,60.26,12.87,9.02
KALIMANTAN TIMUR,2016,0.328,6.0,145343.0,67.92,13.35,9.55
KALIMANTAN TIMUR,2017,0.333,6.08,165547.0,68.23,13.49,9.62
KALIMANTAN TIMUR,2018,0.342,6.06,174165.0,68.43,13.67,9.63
KALIMANTAN TIMUR,2019,0.335,5.91,180259.0,68.55,13.69,4.31
KALIMANTAN TIMUR,2020,0.335,6.64,161799.0,69.0,13.72,9.99
KALIMANTAN TIMUR,2021,0.331,6.27,183158.0,69.29,13.81,10.09
KALIMANTAN TIMUR,2022,0.317,6.44,238917.0,69.1,13.84,10.13
KALIMANTAN TIMUR,2023,0.322,6.11,215761.0,69.89,14.02,10.17
KALIMANTAN TIMUR,2024,0.31,5.51,212175.0,72.37,14.03,10.22
KALIMANTAN UTARA,2016,0.305,6.99,99112.0,62.8,12.59,9.01
KALIMANTAN UTARA,2017,0.313,6.96,111319.0,63.15,12.79,9.1
KALIMANTAN UTARA,2018,0.304,6.86,119414.0,64.05,12.82,9.18
KALIMANTAN UTARA,2019,0.292,6.49,138751.0,64.39,12.84,5.1
KALIMANTAN UTARA,2020,0.3,7.41,143533.0,64.75,12.93,9.3
KALIMANTAN UTARA,2021,0.285,6.83,157092.0,65.37,12.94,9.4
KALIMANTAN UTARA,2022,0.27,6.86,192588.0,65.65,13.06,9.45
KALIMANTAN UTARA,2023,0.277,6.45,201749.0,66.7,13.2,9.53
KALIMANTAN UTARA,2024,0.259,5.38,198429.0,67.9,13.21,9.58
SULAWESI UTARA,2016,0.379,8.2,41246.0,62.5,12.55,9.31
SULAWESI UTARA,2017,0.394,7.9,44744.0,62.81,12.66,9.4
SULAWESI UTARA,2018,0.372,7.59,48105.0,62.83,12.68,9.51
SULAWESI UTARA,2019,0.376,7.51,52173.0,62.98,12.73,5.01
SULAWESI UTARA,2020,0.368,7.78,50521.0,63.43,12.85,9.74
SULAWESI UTARA,2021,0.359,7.36,54034.0,63.33,12.94,9.83
SULAWESI UTARA,2022,0.359,7.34,59021.0,63.3,12.95,9.87
SULAWESI UTARA,2023,0.37,7.38,64131.0,63.86,12.96,9.94
SULAWESI UTARA,2024,0.347,6.7,69352.0,65.47,12.97,10.02
SULAWESI TENGAH,2016,0.347,14.09,41082.0,63.61,12.92,8.56
SULAWESI TENGAH,2017,0.345,14.22,45157.0,63.8,13.04,8.64
SULAWESI TENGAH,2018,0.317,13.69,55519.0,64.25,13.13,8.74
SULAWESI TENGAH,2019,0.33,13.18,61056.0,64.66,13.14,9.32
SULAWESI TENGAH,2020,0.321,13.06,66306.0,65.02,13.17,9.09
SULAWESI TENGAH,2021,0.326,12.18,82017.0,65.44,13.23,9.18
SULAWESI TENGAH,2022,0.305,12.3,106068.0,65.72,13.32,9.17
SULAWESI TENGAH,2023,0.304,12.41,112461.0,66.18,13.33,9.22
SULAWESI TENGAH,2024,0.309,11.04,120750.0,65.62,13.34,9.28
SULAWESI SELATAN,2016,0.4,9.24,43817.0,59.62,13.16,8.31
SULAWESI SELATAN,2017,0.429,9.48,47822.0,59.86,13.28,8.42
SULAWESI SELATAN,2018,0.388,8.87,52642.0,60.03,13.34,8.45
SULAWESI SELATAN,2019,0.391,8.56,57182.0,60.14,13.36,4.44
SULAWESI SELATAN,2020,0.382,8.99,55675.0,60.32,13.45,8.86
SULAWESI SELATAN,2021,0.377,8.53,59503.0,60.35,13.52,8.95
SULAWESI SELATAN,2022,0.365,8.66,65353.0,60.44,13.53,9.09
SULAWESI SELATAN,2023,0.377,8.7,69710.0,60.57,13.54,9.12
SULAWESI SELATAN,2024,0.36,7.77,73573.0,62.71,13.55,9.22
SULAWESI TENGGARA,2016,0.388,12.77,38022.0,62.63,13.24,8.86
SULAWESI TENGGARA,2017,0.404,11.97,41279.0,62.71,13.36,8.93
SULAWESI TENGGARA,2018,0.392,11.32,44492.0,62.87,13.53,9.03
SULAWESI TENGGARA,2019,0.393,11.04,48514.0,62.92,13.55,6.81
SULAWESI TENGGARA,2020,0.388,11.69,49718.0,63.41,13.65,9.41
SULAWESI TENGGARA,2021,0.394,11.74,52436.0,63.7,13.68,9.52
SULAWESI TENGGARA,2022,0.366,11.27,58715.0,64.11,13.69,9.59
SULAWESI TENGGARA,2023,0.371,11.43,64088.0,64.0,13.7,9.62
SULAWESI TENGGARA,2024,0.365,10.63,67840.0,66.66,13.71,9.74
GORONTALO,2016,0.41,17.63,27545.0,56.37,12.88,7.71
GORONTALO,2017,0.405,17.14,29565.0,56.82,13.01,7.77
GORONTALO,2018,0.417,15.83,31828.0,57.38,13.03,7.83
GORONTALO,2019,0.41,15.31,34977.0,57.52,13.06,4.21
GORONTALO,2020,0.406,15.59,35693.0,57.86,13.08,8.26
GORONTALO,2021,0.409,15.41,37087.0,58.21,13.11,8.32
GORONTALO,2022,0.423,15.51,39691.0,58.47,13.12,8.39
GORONTALO,2023,0.417,15.15,42341.0,60.18,13.16,8.48
GORONTALO,2024,0.413,13.87,44433.0,61.23,13.17,8.64
SULAWESI BARAT,2016,0.371,11.19,27513.0,57.08,12.34,7.76
SULAWESI BARAT,2017,0.339,11.18,29676.0,57.46,12.48,7.84
SULAWESI BARAT,2018,0.366,11.22,32059.0,57.58,12.59,7.94
SULAWESI BARAT,2019,0.365,10.95,34112.0,57.64,12.62,9.63
SULAWESI BARAT,2020,0.356,11.5,32837.0,58.05,12.77,8.33
SULAWESI BARAT,2021,0.366,11.85,35195.0,59.77,12.86,8.39
SULAWESI BARAT,2022,0.371,11.92,37034.0,60.24,12.87,8.47
SULAWESI BARAT,2023,0.351,11.49,39547.0,61.17,12.88,8.48
SULAWESI BARAT,2024,0.33,10.71,42718.0,62.1,12.89,8.56
MALUKU,2016,0.344,19.26,21599.0,63.49,13.73,9.69
MALUKU,2017,0.321,18.29,22859.0,63.65,13.91,9.74
MALUKU,2018,0.326,17.85,24269.0,63.68,13.92,9.78
MALUKU,2019,0.32,17.65,26097.0,64.23,13.94,5.84
MALUKU,2020,0.326,17.99,25094.0,64.81,13.96,10.2
MALUKU,2021,0.316,16.3,26153.0,64.71,13.97,10.25
MALUKU,2022,0.306,16.23,28537.0,64.57,14.0,10.37
MALUKU,2023,0.288,16.42,30455.0,66.16,14.08,10.38
MALUKU,2024,0.291,15.78,32198.0,69.61,14.09,10.44
MALUKU UTARA,2016,0.309,6.41,24581.0,63.47,13.45,8.96
MALUKU UTARA,2017,0.33,6.44,26686.0,63.52,13.56,9.0
MALUKU UTARA,2018,0.336,6.62,29586.0,63.88,13.62,9.07
MALUKU UTARA,2019,0.31,6.91,32125.0,63.95,13.63,4.27
MALUKU UTARA,2020,0.29,6.97,33069.0,64.25,13.67,9.42
MALUKU UTARA,2021,0.278,6.38,40381.0,64.11,13.68,9.51
MALUKU UTARA,2022,0.309,6.37,53776.0,65.35,13.73,9.6
MALUKU UTARA,2023,0.3,6.46,63675.0,65.75,13.74,9.61
MALUKU UTARA,2024,0.296,6.03,70660.0,68.02,13.75,9.7
PAPUA BARAT,2016,0.401,24.88,74585.0,62.62,12.26,9.57
PAPUA BARAT,2017,0.387,23.12,78424.0,62.74,12.47,9.67
PAPUA BARAT,2018,0.391,22.66,84958.0,63.11,12.53,9.73
PAPUA BARAT,2019,0.381,21.51,87542.0,63.15,12.72,5.63
PAPUA BARAT,2020,0.376,21.7,73933.0,63.62,12.91,10.0
PAPUA BARAT,2021,0.374,21.82,74022.0,63.51,13.13,10.03
PAPUA BARAT,2022,0.384,21.43,78141.0,63.66,13.21,10.14
PAPUA BARAT,2023,0.37,20.49,108110.0,65.92,13.34,10.14
PAPUA BARAT,2024,0.385,21.09,131636.0,61.18,13.17,9.87
PAPUA,2016,0.399,28.4,54002.0,43.27,10.23,6.48
PAPUA,2017,0.398,27.76,57864.0,43.48,10.54,6.58
PAPUA,2018,0.398,27.43,63386.0,44.31,10.83,6.66
PAPUA,2019,0.391,26.55,56619.0,44.32,11.05,4.26
PAPUA,2020,0.395,26.8,46416.0,44.73,11.08,6.96
PAPUA,2021,0.396,27.38,54051.0,44.41,11.11,7.05
PAPUA,2022,0.393,26.8,59384.0,47.63,11.14,7.31
PAPUA,2023,0.386,26.03,78055.0,48.32,11.15,7.34
PAPUA,2024,0.405,18.09,81009.0,61.33,13.72,10.7
