iter	Passed	Remaining
408	5249	1167
409	5261	1155
410	5274	1142
411	5287	1129
412	5299	1116
413	5312	1103
414	5325	1090
415	5339	1078
416	5351	1065
417	5363	1052
418	5376	1039
419	5388	1026
420	5402	1013
421	5415	1000
422	5427	988
423	5440	975
424	5453	962
425	5465	949
426	5478	936
427	5490	923
428	5503	910
429	5515	897
430	5528	885
431	5541	872
432	5554	859
433	5566	846
434	5580	833
435	5592	820
436	5605	808
437	5618	795
438	5630	782
439	5644	769
440	5656	756
441	5669	743
442	5681	731
443	5694	718
444	5708	705
445	5721	692
446	5733	679
447	5745	666
448	5758	654
449	5771	641
450	5784	628
451	5796	615
452	5808	602
453	5823	590
454	5836	577
455	5848	564
456	5860	551
457	5873	538
458	5886	525
459	5899	512
460	5912	500
461	5926	487
462	5938	474
463	5951	461
464	5963	448
465	5976	436
466	5988	423
467	6000	410
468	6014	397
469	6026	384
470	6038	371
471	6051	358
472	6063	346
473	6076	333
474	6088	320
475	6102	307
476	6114	294
477	6128	282
478	6139	269
479	6152	256
480	6165	243
481	6178	230
482	6190	217
483	6203	205
484	6216	192
485	6231	179
486	6245	166
487	6258	153
488	6271	141
489	6283	128
490	6296	115
491	6308	102
492	6320	89
493	6332	76
494	6345	64
495	6358	51
496	6371	38
497	6383	25
498	6395	12
499	6408	0
