iter	MAE
0	3.53973446
1	3.491977724
2	3.448957115
3	3.396272795
4	3.345185434
5	3.305793688
6	3.284987525
7	3.224435846
8	3.183537549
9	3.15002005
10	3.112527141
11	3.080533557
12	3.035985851
13	2.993916378
14	2.949743903
15	2.921275619
16	2.895478939
17	2.850522363
18	2.813973939
19	2.78616344
20	2.756561418
21	2.727082206
22	2.693008563
23	2.657736088
24	2.627609914
25	2.599421138
26	2.569969378
27	2.542072436
28	2.512151905
29	2.496480857
30	2.473716809
31	2.442823014
32	2.429033264
33	2.403510406
34	2.375409688
35	2.344612288
36	2.320896489
37	2.293536859
38	2.263948447
39	2.238246008
40	2.216271562
41	2.192892957
42	2.168208341
43	2.14713944
44	2.122166911
45	2.099519592
46	2.077880437
47	2.057423513
48	2.033998239
49	2.006646482
50	1.991498764
51	1.973582511
52	1.942124602
53	1.924561422
54	1.898897699
55	1.883049016
56	1.863482691
57	1.85016392
58	1.835396513
59	1.813810581
60	1.793948976
61	1.772558621
62	1.753584526
63	1.737050307
64	1.724499511
65	1.708240039
66	1.691356589
67	1.666045522
68	1.652700095
69	1.640592982
70	1.618829828
71	1.604430763
72	1.581039678
73	1.557673915
74	1.54106566
75	1.52794368
76	1.516814095
77	1.502876515
78	1.481576618
79	1.467568235
80	1.45457954
81	1.439232083
82	1.424259558
83	1.413905056
84	1.399472078
85	1.386140798
86	1.375044942
87	1.360498959
88	1.348461767
89	1.335462984
90	1.319665879
91	1.311222503
92	1.303377233
93	1.292277995
94	1.284715159
95	1.273032369
96	1.258884699
97	1.246313608
98	1.235239991
99	1.222475249
100	1.208661745
101	1.192627102
102	1.186893642
103	1.174195941
104	1.166092314
105	1.160187306
106	1.149452585
107	1.143456836
108	1.135290272
109	1.125747362
110	1.117982801
111	1.107819137
112	1.095488654
113	1.085728088
114	1.073780339
115	1.059799039
116	1.051592883
117	1.040038118
118	1.032065992
119	1.021536103
120	1.01176262
121	0.9996740254
122	0.9901941579
123	0.9793201466
124	0.9732311968
125	0.9661729077
126	0.9538527819
127	0.9456356755
128	0.9399884364
129	0.9295698349
130	0.9223222448
131	0.9129029712
132	0.9058216936
133	0.8973686063
134	0.8910833617
135	0.8818273865
136	0.8741168344
137	0.8657465921
138	0.8589540355
139	0.8562524819
140	0.8474368908
141	0.8417105818
142	0.8374666476
143	0.8271466449
144	0.8223854583
145	0.8143551601
146	0.8069231082
147	0.8001885818
148	0.7936942582
149	0.7876411923
150	0.7836784151
151	0.7790042523
152	0.7733845635
153	0.7651958392
154	0.7608028718
155	0.7533502919
156	0.7456223298
157	0.7415565865
158	0.7342884166
159	0.7303949805
160	0.7259400937
161	0.7212549358
162	0.714601218
163	0.7091226887
164	0.7012703241
165	0.6961905032
166	0.6936969894
167	0.688775712
168	0.6851442947
169	0.6788061882
170	0.6731261259
171	0.6699926006
172	0.6658173656
173	0.6601406118
174	0.655125891
175	0.6506291803
176	0.64490888
177	0.6369503051
178	0.6326130284
179	0.6287831108
180	0.6223297458
181	0.6185237651
182	0.6161925931
183	0.6112039829
184	0.6069233318
185	0.6019819759
186	0.5971374585
187	0.5928806615
188	0.5897681203
189	0.5863872961
190	0.581943786
191	0.575053021
192	0.5711803497
193	0.5672888548
194	0.5631041636
195	0.5563606801
196	0.554080171
197	0.5488715502
198	0.544559997
199	0.5417081018
200	0.5371830864
201	0.5323634527
202	0.529365564
203	0.5241827074
204	0.5171849952
205	0.514283269
206	0.5108153836
207	0.5075845181
208	0.5051291188
209	0.5012736445
210	0.4984857705
211	0.4964941057
212	0.4943351366
213	0.492046496
214	0.4885498471
215	0.4847628656
216	0.4810639617
217	0.4782895734
218	0.4761447905
219	0.4743638737
220	0.4716097613
221	0.4676428106
222	0.4658231543
223	0.464078906
224	0.4621569853
225	0.4596347916
226	0.4548162499
227	0.4521483072
228	0.4496989276
229	0.4474451864
230	0.4434213932
231	0.440603654
232	0.4379096161
233	0.4354733084
234	0.4339129281
235	0.4299088586
236	0.4268375041
237	0.4242953775
238	0.4230430588
239	0.4204551022
240	0.4169520976
241	0.4151174656
242	0.4134562661
243	0.4109983175
244	0.4092755288
245	0.4061128716
246	0.4034782789
247	0.4011343004
248	0.3994486344
249	0.3970171543
250	0.3953500391
251	0.3937468662
252	0.3903337935
253	0.3865983586
254	0.3847969134
255	0.3832343404
256	0.3805765923
257	0.378579798
258	0.3761913841
259	0.3742547304
260	0.3706069386
261	0.3687354454
262	0.3674198358
263	0.3631255605
264	0.3616387236
265	0.3600051344
266	0.3587233756
267	0.3564524334
268	0.3543867416
269	0.352179257
270	0.3502004443
271	0.3491091981
272	0.3463715878
273	0.3448994139
274	0.3432633313
275	0.3418330134
276	0.33948906
277	0.3370501761
278	0.334262454
279	0.3323975982
280	0.3300543957
281	0.3277819805
282	0.325756588
283	0.3253351089
284	0.3228794181
285	0.3218236935
286	0.3184550008
287	0.316586711
288	0.315348723
289	0.3138795271
290	0.3128339228
291	0.309847224
292	0.3080038924
293	0.3066292817
294	0.3056378722
295	0.303085096
296	0.3010463146
297	0.3000940436
298	0.2983861196
299	0.2972901095
300	0.2954725384
301	0.2926012789
302	0.2916122074
303	0.2888586284
304	0.2868598825
305	0.2844321068
306	0.2818691483
307	0.2806591027
308	0.2785228766
309	0.2771203749
310	0.2761018411
311	0.2728426948
312	0.2720622067
313	0.2709231323
314	0.2690649946
315	0.268142193
316	0.2669930375
317	0.2646993759
318	0.2636012857
319	0.2615056764
320	0.2602471518
321	0.2591929408
322	0.257464297
323	0.2552357027
324	0.2543697972
325	0.2536431726
326	0.2529444909
327	0.2507062591
328	0.2490634673
329	0.2477723061
330	0.2465128002
331	0.2449410568
332	0.2435209165
333	0.241652937
334	0.2399937504
335	0.2376111597
336	0.2365782649
337	0.2350506426
338	0.234357593
339	0.2318776873
340	0.2306191159
341	0.2299047838
342	0.2288023882
343	0.2279298215
344	0.2271821561
345	0.2253994062
346	0.2236735753
347	0.2228942526
348	0.2221402069
349	0.2200647862
350	0.2191995991
351	0.2183210874
352	0.2180813693
353	0.2169133747
354	0.2149515221
355	0.2135578743
356	0.2129236167
357	0.2122940212
358	0.2118760114
359	0.2110394143
360	0.2103242642
361	0.2087476718
362	0.2079806631
363	0.2061849638
364	0.2052569436
365	0.2045186
366	0.203261917
367	0.2019163394
368	0.2010210199
369	0.2003001582
370	0.1995934262
371	0.1989168611
372	0.1975920972
373	0.1967263872
374	0.1963815057
375	0.1958103421
376	0.1949978162
377	0.1943994921
378	0.1934972233
379	0.1928435187
380	0.1921929401
381	0.1916894137
382	0.190009762
383	0.1890364059
384	0.1879363692
385	0.187283723
386	0.185855738
387	0.1853710636
388	0.1847679395
389	0.1840634758
390	0.1833159521
391	0.1827337416
392	0.1818491112
393	0.1807075638
394	0.1791129712
395	0.1789008687
396	0.1783914892
397	0.1773408131
398	0.177107732
399	0.1747639788
400	0.1737213707
401	0.1732616845
402	0.172864564
403	0.1723724054
404	0.1720615061
405	0.1710942097
406	0.1700831051
407	0.1691722469
408	0.168868757
409	0.1682740608
410	0.1677400166
411	0.167054814
412	0.1663319674
413	0.1656903313
414	0.1646731048
415	0.1633822327
416	0.1629716282
417	0.1621882603
418	0.1617469305
419	0.160707941
420	0.1600011076
421	0.1596639297
422	0.1591378258
423	0.1583888493
424	0.157823309
425	0.157599554
426	0.1564864955
427	0.1558492291
428	0.1557290153
429	0.1553386462
430	0.1550551483
431	0.1541155387
432	0.1536601766
433	0.1526899867
434	0.1519577772
435	0.1513807056
436	0.1506791113
437	0.1499602793
438	0.1494298274
439	0.1489929564
440	0.1481182612
441	0.1477097446
442	0.146379732
443	0.1459675872
444	0.1451928537
445	0.1449816239
446	0.1438295983
447	0.1429997039
448	0.1426222325
449	0.1421518918
450	0.1417301328
451	0.1413081194
452	0.1408030595
453	0.1403830204
454	0.1398727197
455	0.1397501526
456	0.1390702842
457	0.1388070871
458	0.1383312538
459	0.1377867248
460	0.1373747339
461	0.1369741482
462	0.1366693548
463	0.1362278277
464	0.1357065559
465	0.1344415047
466	0.1330004815
467	0.1327155046
468	0.1318951822
469	0.1310614696
470	0.1299012609
471	0.1290925829
472	0.1286154725
473	0.1276420598
474	0.126998914
475	0.1260394747
476	0.125611224
477	0.1248650628
478	0.124081718
479	0.1234986876
480	0.1227358178
481	0.1222607247
482	0.1217222735
483	0.1210091752
484	0.1201835591
485	0.1196213115
486	0.1194112935
487	0.1183450494
488	0.1180121236
489	0.117341202
490	0.1169706635
491	0.1163568868
492	0.1162233076
493	0.1157835226
494	0.1151182321
495	0.1148335493
496	0.1146807863
497	0.1140887892
498	0.1138523937
499	0.11354037
