tanggal,nama_provinsi,lat,lon,hujan_mm,suhu_rata,kelembaban_tanah,persentase_penduduk_miskin
2024-03-23,ACEH,4.6951,96.7494,6.2,21.3,0.486,14.23
2024-03-24,ACEH,4.6951,96.7494,2.7,21.2,0.485,14.23
2024-03-25,ACEH,4.6951,96.7494,5.7,20.8,0.486,14.23
2024-03-26,ACEH,4.6951,96.7494,9.4,20.8,0.497,14.23
2024-03-27,ACEH,4.6951,96.7494,32.0,20.0,0.504,14.23
2024-03-28,ACEH,4.6951,96.7494,2.0,21.0,0.491,14.23
2024-03-29,ACEH,4.6951,96.7494,13.2,20.4,0.488,14.23
2024-03-30,ACEH,4.6951,96.7494,7.4,20.4,0.493,14.23
2024-03-31,ACEH,4.6951,96.7494,23.4,20.5,0.498,14.23
2024-04-01,ACEH,4.6951,96.7494,14.8,20.3,0.497,14.23
2024-04-02,ACEH,4.6951,96.7494,18.4,20.4,0.496,14.23
2024-04-03,ACEH,4.6951,96.7494,18.5,20.6,0.497,14.23
2024-04-04,ACEH,4.6951,96.7494,10.0,20.5,0.497,14.23
2024-04-05,ACEH,4.6951,96.7494,0.9,21.2,0.489,14.23
2024-04-06,ACEH,4.6951,96.7494,0.2,21.7,0.475,14.23
2024-04-07,ACEH,4.6951,96.7494,0.1,22.0,0.459,14.23
2024-04-08,ACEH,4.6951,96.7494,31.4,21.3,0.473,14.23
2024-04-09,ACEH,4.6951,96.7494,36.5,20.4,0.5,14.23
2024-04-10,ACEH,4.6951,96.7494,0.7,20.6,0.49,14.23
2024-04-11,ACEH,4.6951,96.7494,6.3,21.0,0.489,14.23
2024-04-12,ACEH,4.6951,96.7494,3.6,21.1,0.485,14.23
2024-04-13,ACEH,4.6951,96.7494,4.0,20.8,0.477,14.23
2024-04-14,ACEH,4.6951,96.7494,10.3,20.5,0.484,14.23
2024-04-15,ACEH,4.6951,96.7494,8.7,20.8,0.485,14.23
2024-04-16,ACEH,4.6951,96.7494,18.3,20.5,0.489,14.23
2024-04-17,ACEH,4.6951,96.7494,6.5,20.9,0.499,14.23
2024-04-18,ACEH,4.6951,96.7494,16.0,21.0,0.498,14.23
2024-04-19,ACEH,4.6951,96.7494,12.3,20.4,0.502,14.23
2024-04-20,ACEH,4.6951,96.7494,3.9,21.4,0.499,14.23
2024-04-21,ACEH,4.6951,96.7494,2.7,21.2,0.493,14.23
2024-04-22,ACEH,4.6951,96.7494,15.2,21.1,0.493,14.23
2024-04-23,ACEH,4.6951,96.7494,10.4,20.8,0.496,14.23
2024-04-24,ACEH,4.6951,96.7494,13.0,21.0,0.496,14.23
2024-04-25,ACEH,4.6951,96.7494,5.5,20.8,0.496,14.23
2024-04-26,ACEH,4.6951,96.7494,2.7,21.2,0.492,14.23
2024-04-27,ACEH,4.6951,96.7494,5.7,21.4,0.493,14.23
2024-04-28,ACEH,4.6951,96.7494,19.6,21.4,0.497,14.23
2024-04-29,ACEH,4.6951,96.7494,5.6,21.3,0.494,14.23
2024-04-30,ACEH,4.6951,96.7494,2.7,21.1,0.488,14.23
2024-05-01,ACEH,4.6951,96.7494,5.3,20.9,0.491,14.23
2024-05-02,ACEH,4.6951,96.7494,3.0,21.2,0.492,14.23
2024-05-03,ACEH,4.6951,96.7494,2.6,20.9,0.491,14.23
2024-05-04,ACEH,4.6951,96.7494,0.9,20.8,0.489,14.23
2024-05-05,ACEH,4.6951,96.7494,4.1,21.9,0.488,14.23
2024-05-06,ACEH,4.6951,96.7494,16.7,21.2,0.493,14.23
2024-05-07,ACEH,4.6951,96.7494,9.4,20.9,0.499,14.23
2024-05-08,ACEH,4.6951,96.7494,4.7,21.5,0.494,14.23
2024-05-09,ACEH,4.6951,96.7494,10.7,21.6,0.493,14.23
2024-05-10,ACEH,4.6951,96.7494,21.1,20.8,0.497,14.23
2024-05-11,ACEH,4.6951,96.7494,13.4,21.2,0.497,14.23
2024-05-12,ACEH,4.6951,96.7494,38.0,21.3,0.499,14.23
2024-05-13,ACEH,4.6951,96.7494,8.4,21.5,0.497,14.23
2024-05-14,ACEH,4.6951,96.7494,7.5,21.0,0.501,14.23
2024-05-15,ACEH,4.6951,96.7494,6.5,21.2,0.496,14.23
2024-05-16,ACEH,4.6951,96.7494,29.2,20.9,0.501,14.23
2024-05-17,ACEH,4.6951,96.7494,35.3,21.8,0.502,14.23
2024-05-18,ACEH,4.6951,96.7494,14.3,21.8,0.502,14.23
2024-05-19,ACEH,4.6951,96.7494,8.1,21.5,0.497,14.23
2024-05-20,ACEH,4.6951,96.7494,24.5,20.7,0.504,14.23
2024-05-21,ACEH,4.6951,96.7494,3.2,21.2,0.501,14.23
2024-05-22,ACEH,4.6951,96.7494,13.3,20.9,0.505,14.23
2024-05-23,ACEH,4.6951,96.7494,0.3,21.5,0.48,14.23
2024-05-24,ACEH,4.6951,96.7494,0.0,22.7,0.463,14.23
2024-05-25,ACEH,4.6951,96.7494,0.0,21.8,0.451,14.23
2024-05-26,ACEH,4.6951,96.7494,5.3,22.1,0.442,14.23
2024-05-27,ACEH,4.6951,96.7494,0.0,23.1,0.436,14.23
2024-05-28,ACEH,4.6951,96.7494,0.0,22.1,0.46,14.23
2024-05-29,ACEH,4.6951,96.7494,0.0,22.7,0.444,14.23
2024-05-30,ACEH,4.6951,96.7494,3.4,21.7,0.441,14.23
2024-05-31,ACEH,4.6951,96.7494,0.1,21.3,0.461,14.23
2024-06-01,ACEH,4.6951,96.7494,4.9,20.5,0.457,14.23
2024-06-02,ACEH,4.6951,96.7494,0.4,21.3,0.461,14.23
2024-06-03,ACEH,4.6951,96.7494,2.0,20.8,0.465,14.23
2024-06-04,ACEH,4.6951,96.7494,0.0,21.8,0.438,14.23
2024-06-05,ACEH,4.6951,96.7494,0.5,21.1,0.42,14.23
2024-06-06,ACEH,4.6951,96.7494,3.7,21.0,0.422,14.23
2024-06-07,ACEH,4.6951,96.7494,16.3,21.3,0.474,14.23
2024-06-08,ACEH,4.6951,96.7494,0.0,21.4,0.447,14.23
2024-06-09,ACEH,4.6951,96.7494,0.6,21.2,0.422,14.23
2024-06-10,ACEH,4.6951,96.7494,0.0,21.2,0.407,14.23
2024-06-11,ACEH,4.6951,96.7494,0.8,21.0,0.393,14.23
2024-06-12,ACEH,4.6951,96.7494,0.3,21.2,0.382,14.23
2024-06-13,ACEH,4.6951,96.7494,0.5,21.4,0.372,14.23
2024-06-14,ACEH,4.6951,96.7494,3.3,21.8,0.375,14.23
2024-06-15,ACEH,4.6951,96.7494,6.0,20.9,0.398,14.23
2024-06-16,ACEH,4.6951,96.7494,27.1,20.4,0.479,14.23
2024-06-17,ACEH,4.6951,96.7494,6.2,20.2,0.49,14.23
2024-06-18,ACEH,4.6951,96.7494,2.0,20.1,0.476,14.23
2024-06-19,ACEH,4.6951,96.7494,8.3,20.0,0.488,14.23
2024-06-20,ACEH,4.6951,96.7494,0.9,20.5,0.483,14.23
2024-06-21,ACEH,4.6951,96.7494,2.7,20.0,0.477,14.23
2024-06-22,ACEH,4.6951,96.7494,0.4,20.5,0.485,14.23
2024-06-23,ACEH,4.6951,96.7494,0.0,20.7,0.468,14.23
2024-06-24,ACEH,4.6951,96.7494,0.1,20.6,0.452,14.23
2024-06-25,ACEH,4.6951,96.7494,0.0,20.9,0.44,14.23
2024-06-26,ACEH,4.6951,96.7494,0.0,21.3,0.425,14.23
2024-06-27,ACEH,4.6951,96.7494,4.3,20.5,0.431,14.23
2024-06-28,ACEH,4.6951,96.7494,2.1,20.7,0.46,14.23
2024-06-29,ACEH,4.6951,96.7494,33.5,20.5,0.488,14.23
2024-06-30,ACEH,4.6951,96.7494,4.3,20.9,0.489,14.23
2024-07-01,ACEH,4.6951,96.7494,0.0,20.5,0.462,14.23
2024-07-02,ACEH,4.6951,96.7494,0.1,21.0,0.443,14.23
2024-07-03,ACEH,4.6951,96.7494,0.0,20.8,0.426,14.23
2024-07-04,ACEH,4.6951,96.7494,1.1,20.6,0.413,14.23
2024-07-05,ACEH,4.6951,96.7494,0.8,20.1,0.407,14.23
2024-07-06,ACEH,4.6951,96.7494,0.0,20.5,0.414,14.23
2024-07-07,ACEH,4.6951,96.7494,0.9,20.6,0.407,14.23
2024-07-08,ACEH,4.6951,96.7494,1.3,19.9,0.409,14.23
2024-07-09,ACEH,4.6951,96.7494,5.7,20.2,0.424,14.23
2024-07-10,ACEH,4.6951,96.7494,2.4,19.9,0.465,14.23
2024-07-11,ACEH,4.6951,96.7494,2.7,20.1,0.474,14.23
2024-07-12,ACEH,4.6951,96.7494,0.4,20.3,0.461,14.23
2024-07-13,ACEH,4.6951,96.7494,0.1,20.9,0.44,14.23
2024-07-14,ACEH,4.6951,96.7494,0.3,20.6,0.425,14.23
2024-07-15,ACEH,4.6951,96.7494,0.6,20.5,0.412,14.23
2024-07-16,ACEH,4.6951,96.7494,0.0,20.4,0.397,14.23
2024-07-17,ACEH,4.6951,96.7494,0.3,20.8,0.385,14.23
2024-07-18,ACEH,4.6951,96.7494,0.0,21.2,0.374,14.23
2024-07-19,ACEH,4.6951,96.7494,0.0,21.2,0.365,14.23
2024-07-20,ACEH,4.6951,96.7494,0.0,21.6,0.355,14.23
2024-07-21,ACEH,4.6951,96.7494,0.0,21.6,0.346,14.23
2024-07-22,ACEH,4.6951,96.7494,0.0,21.7,0.337,14.23
2024-07-23,ACEH,4.6951,96.7494,0.0,21.5,0.328,14.23
2024-07-24,ACEH,4.6951,96.7494,0.1,21.0,0.32,14.23
2024-07-25,ACEH,4.6951,96.7494,0.2,21.7,0.317,14.23
2024-07-26,ACEH,4.6951,96.7494,0.9,21.4,0.314,14.23
2024-07-27,ACEH,4.6951,96.7494,1.1,21.9,0.315,14.23
2024-07-28,ACEH,4.6951,96.7494,2.1,21.4,0.314,14.23
2024-07-29,ACEH,4.6951,96.7494,0.8,21.1,0.323,14.23
2024-07-30,ACEH,4.6951,96.7494,0.6,21.3,0.347,14.23
2024-07-31,ACEH,4.6951,96.7494,0.2,21.4,0.344,14.23
2024-08-01,ACEH,4.6951,96.7494,0.7,21.2,0.34,14.23
2024-08-02,ACEH,4.6951,96.7494,6.2,20.5,0.354,14.23
2024-08-03,ACEH,4.6951,96.7494,6.9,20.3,0.375,14.23
2024-08-04,ACEH,4.6951,96.7494,4.9,20.0,0.437,14.23
2024-08-05,ACEH,4.6951,96.7494,18.2,20.1,0.438,14.23
2024-08-06,ACEH,4.6951,96.7494,5.5,19.6,0.454,14.23
2024-08-07,ACEH,4.6951,96.7494,1.4,20.3,0.454,14.23
2024-08-08,ACEH,4.6951,96.7494,5.7,21.0,0.444,14.23
2024-08-09,ACEH,4.6951,96.7494,16.2,20.4,0.471,14.23
2024-08-10,ACEH,4.6951,96.7494,21.6,20.0,0.502,14.23
2024-08-11,ACEH,4.6951,96.7494,15.2,19.8,0.502,14.23
2024-08-12,ACEH,4.6951,96.7494,0.5,20.4,0.478,14.23
